abaĵuro 	Noun 	(archaic) lampshade 	From French abat-jour. 	 
ruĝa nano 	Noun 	(astronomy) red dwarf 	ruĝa (“red”) +‎ nano (“dwarf”) 	 
ruĝe 	Adverb 	redly 	  	 
ruĝi 	Verb 	(intransitive) to be red in color, to have a red hue red colour:   	  	 
ruĝiĝi 	Verb 	(intransitive) to blush 	From ruĝa +‎ -iĝi. 	 
ruĝo 	Noun 	the color red, a red hue red colour:   	From French rouge. 	 
ruĝo 	Noun 	the color red, a red hue red colour:   	From French rouge. 	 
rutino 	Noun 	routine 	From French routine. 	 
rutina 	Adjective 	routine, habitual 	From rutino +‎ -a. 	 
ruza 	Adjective 	clever, sly, cunning 	French rusé 	 
sablo 	Noun 	sand 	Borrowed from French sable. 	 
sablokesto 	Noun 	sandpit 	From sablo +‎ kesto. 	 
sablejo 	Noun 	shoal 	From sablo +‎ -ejo. 	 
sabloŝtormo 	Noun 	(weather) sandstorm 	sablo +‎ ŝtormo 	 
sabloŝtono 	Noun 	(geology) sandstone 	From sablo +‎ ŝtono. 	 
salato 	Noun 	salad 	From German Salat, Russian сала́т (salát). See also English salad, French salade, etc. 	 
sandviĉo 	Noun 	sandwich 	Borrowed from English sandwich, reinforced by French sandwich, German Sandwich, etc. 	 
seĝo 	Noun 	seat, chair 	From French siège and Italian seggio. 	 
brakseĝo 	Noun 	armchair 	brako (“arm”) +‎ seĝo (“chair”) 	 
rulseĝo 	Noun 	wheelchair 	Compound of ruli (“to roll”) +‎ seĝo (“chair”). 	 
semajno 	Noun 	week 	From French semaine 	 
semajntago 	Noun 	weekday 	From semajno (“week”) +‎ tago (“day”). 	 
serpento 	Noun 	serpent, snake 	From Latin serpēns through French serpent, Italian serpente, etc. 	 
sindikato 	Noun 	a syndicate, labor union 	Borrowed from English syndicate and French syndicat. 	 
smokingo 	Noun 	(US) tuxedo; (British) dinner jacket 	Borrowed from French smoking, from English smoking jacket. 	 
soifo 	Noun 	thirst 	Borrowed from French soif  +‎ -o. 	 
soifi 	Verb 	(intransitive) to thirst, be thirsty 	From soifo (“thirst”, noun) +‎ -i. 	 
sojlo 	Noun 	sill, threshold 	From French seuil, Italian soglia. 	 
soldato 	Noun 	(military) soldier 	From French, soldat, German Soldat, Italian soldato 	 
dungosoldato 	Noun 	(military) soldier of fortune, mercenary 	From dungi +‎ soldato. 	 
lusoldato 	Noun 	(military) soldier of fortune; mercenary 	From lui (“to hire”) +‎ soldato (“soldier”). 	 
rajdsoldato 	Noun 	(military) cavalryman 	rajdi (“to ride”) +‎ soldato (“soldier”) 	 
soldatejo 	Noun 	(military) barracks 	From soldato +‎ -ejo. 	 
soldatigi 	Verb 	(transitive, military) to draft; to conscript 	From soldati (“to soldier”) +‎ -igi. 	 
soldatiĝi 	Verb 	(intransitive, military) to enlist (in the military), to join (the army, navy, etc.) 	soldato +‎ -iĝi 	 
sonĝo 	Noun 	dream 	Borrowed from French songe. Compare Italian sogno, Portuguese sonho, Spanish sueño, Catalan somni, from Latin somnium. 	 
sovaĝa 	Adjective 	wild, savage, ferocious 	French sauvage 	 
malsovaĝa 	Adjective 	Tame. 	mal- (“opposite of”) +‎ sovaĝa (“wild”) 	 
malsovaĝigi 	Verb 	(transitive) to tame (a wild animal) 	From malsovaĝa +‎ -igi. 	 
spiono 	Noun 	spy 	From German Spion, from French espion. 	 
spionino 	Noun 	female spy 	From spiono (“spy”) +‎ -ino. 	 
spioni 	Verb 	(intransitive) to spy 	From spiono (“spy”, noun) +‎ -i. 	 
sporto 	Noun 	sport 	English sport, French sport, Italian Sport, Italian sport, etc. 	 
sterila 	Adjective 	sterile (unable to reproduce) 	From French stérile, itself from Latin sterilis, ultimately from Proto-Indo-European *ster- (“stiff”). 	 
subtaso 	Noun 	saucer 	From sub +‎ taso, calque of  French sous-tasse. 	 
sur 	Preposition 	on, upon 	From French sur. 	 
surda 	Adjective 	deaf 	Borrowed from French sourd. 	 
ŝalo 	Noun 	scarf 	From German Schal, English shawl, and French châle, all ultimately from Persian شال‎ (šâl). 	 
ŝampinjono 	Noun 	mushroom 	From French champignon. 	 
ŝanceli 	Verb 	(transitive) to rock, push back and forth 	Borrowed from French chanceler. 	 
ŝanĝi 	Verb 	(transitive) to change 	Borrowed from French changer. 	 
interŝanĝi 	Verb 	(transitive) to trade 	From inter- +‎ ŝanĝi. 	 
ŝanĝeble 	Adverb 	changeably 	From ŝanĝi (“to change”) +‎ -eble. 	 
ŝanĝiĝi 	Verb 	(intransitive) to change (become something different) 	From ŝanĝi (“to change”) +‎ -iĝi. 	 
ŝargi 	Verb 	to load, burden 	French charger 	 
ŝarĝi 	Verb 	to load 	French charger 	 
malŝarĝi 	Verb 	to unload 	mal- +‎ ŝarĝi 	 
ŝarĝveturilo 	Noun 	freight wagon 	ŝarĝi +‎ veturilo 	 
ŝoforo 	Noun 	chauffeur, driver 	French and English chauffeur 	 
ŝoseo 	Noun 	highway 	From French chaussée + -o. 	 
tabako 	Noun 	tobacco 	Borrowed from German Tabak, Russian таба́к (tabák), French tabac, Italian tabacco and English tobacco. 	 
tabelo 	Noun 	table (grid of data in rows and columns) 	Borrowed from German Tabelle, French table and English table. 	 
tablo 	Noun 	table (furniture) 	Borrowed from French table and English table. 	 
altabliĝi 	Verb 	(intransitive) to sit down at the table 	From al- +‎ tablo +‎ -iĝi. 	 
ĉeftablo 	Noun 	head table 	From ĉef- +‎ tablo. 	 
skribotablo 	Noun 	desk 	skribi +‎ tablo. 	 
tabloteniso 	Noun 	(sports) table tennis; ping pong 	tablo (“table”) +‎ teniso (“tennis”) 	 
tablotuko 	Noun 	tablecloth 	From tablo (“table”) +‎ tuko (“cloth”). 	 
taĉmento 	Noun 	(military) detachment 	Clipped borrowing of English detachment, French détachement and German Detachement. 	 
tajloro 	Noun 	tailor 	Borrowed from English tailor, from French tailleur. 	 
taksi 	Verb 	(transitive) to appraise 	Borrowed from French taxer and German taxieren. 	 
alttaksi 	Verb 	(transitive) to value (highly), appreciate, esteem 	From alta (“high”) +‎ taksi (“to assess, evaluate, rate”). 	 
taksio 	Noun 	taxi, taxicab 	From English taxi, French taxi, etc. 	 
taksistacio 	Noun 	taxi stand 	taksio (“taxi”) +‎ stacio (“station”) 	 
talento 	Noun 	talent, ability 	Borrowed from French talent, Polish talent, German Talent and English talent. 	 
talio 	Noun 	(anatomy) waist 	Noun[edit] 	 
tani 	Verb 	(transitive) to tan (leather) 	Borrowed from French tanner and English tan. 	 
tapiŝo 	Noun 	carpet, rug 	Borrowed from French tapis. 	 
taso 	Noun 	cup 	Borrowed from German Tasse, French tasse and Italian tazza, from Arabic طَاس‎ (ṭās). 	 
tatuaĵo 	Noun 	tattoo 	Borrowed from French tatouage, Italian tatuaggio. Synchronically, tatuo +‎ -aĵo. 	 
telefono 	Noun 	telephone 	Borrowed from French téléphone, English telephone, from Ancient Greek τῆλε (têle, “afar”) + φωνή (phōnḗ, “voice, sound”). 	 
temo 	Noun 	topic that something is about, subject, theme 	Borrowed from French thème, Russian те́ма (téma), German Thema, English theme and Polish temat. 	 
ĉeftemo 	Noun 	main theme 	From ĉef- +‎ temo. 	 
tempo 	Noun 	time 	Borrowed from Latin tempus, Italian tempo, French temps, etc. 	 
antaŭtempa 	Adjective 	premature, untimely 	From antaŭ- +‎ tempo +‎ -a. 	 
nuntempe 	Adverb 	nowadays 	nun ("now") + tempo ("time") + -e (adverbial suffix) 	 
spactempo 	Noun 	(physics) spacetime 	spaco +‎ tempo 	 
tiutempe 	Adverb 	at that time 	tiu +‎ tempo  +‎ -e 	 
tendo 	Noun 	tent 	Borrowed from Italian tenda, English tent and French tente, voicing of the second -t- was preferred because tent- was taken by tenti. 	 
teni 	Verb 	to hold, to keep (hold on to) 	Borrowed from Latin teneō, Italian tenere and French tenir. 	 
alteni 	Verb 	(transitive) to hold on, cling (to); to rivet 	From al- +‎ teni. 	 
alteniĝi 	Verb 	(intransitive) to hold on, to cling; to adhere 	From al- +‎ teni +‎ -iĝi. 	 
elteni 	Verb 	to endure 	From el- +‎ teni (“to hold, keep”). 	 
enteni 	Verb 	to contain 	From en- (“in”) +‎ teni (“to hold”). 	 
tenilo 	Noun 	handle, haft 	From teni +‎ -ilo. 	 
tenti 	Verb 	(transitive) to tempt, to seduce, to try, to lure 	Borrowed from French tenter. 	 
teraso 	Noun 	terrace 	Internationalism, borrowed from e.g. German Terrasse, French terrasse, Russian терра́са (terrása), English terrace. 	 
terebinto 	Noun 	turpentine 	Borrowed from French térébenthine, ultimately from Ancient Greek τερέβινθος (terébinthos, “terebinth tree”). 	 
tereno 	Noun 	terrain 	From French terrain, from Latin terrēnum (“land, ground”), neuter of terrēnus (“consisting of earth”), from terra (“earth”). 	 
terni 	Verb 	to sneeze 	Borrowed from French éternuer. 	 
terno 	Noun 	sneeze 	terni +‎ -o 	 
tero 	Noun 	(often  capitalized) the planet Earth 	Borrowed from Italian terra and French terre, from Latin terra. 	 
alterigi 	Verb 	(transitive) to land (a boat, airplane, spaceship, etc.) 	From al- +‎ tero +‎ -igi. 	 
alteriĝi 	Verb 	(intransitive) to land; to go on shore 	From al- +‎ tero +‎ -iĝi. 	 
tera 	Adjective 	earthen, telluric, terrestrial 	  	 
terano 	Noun 	(science fiction) an inhabitant of planet Earth, a Terran, an Earthling 	From Tero (“Earth”) +‎ -ano (“inhabitant”). 	 
terglobuso 	Noun 	world globe (scale model of planet Earth) 	tera (“terrestrial”) +‎ globuso (“globe”) 	 
termantelo 	Noun 	(geology) mantle 	From tero +‎ mantelo. 	 
tertremo 	Noun 	(geology) earthquake 	From tero +‎ tremo. 	 
terpomo 	Noun 	potato 	From tero (“earth”) +‎ pomo (“apple”), calque of  French pomme de terre. 	 
terpomfingro 	Noun 	french fry 	From terpomo (“potato”) +‎ fingro (“finger”). 	 
terpomfloko 	Noun 	a thin slice of potato deep fried until crispy, (America, Australia, Canada) potato chip, (UK, Ireland) crisp 	From terpomo (“potato”) +‎ floko (“flake”). 	 
teruro 	Noun 	terror 	Borrowed from French terreur and English terror, etc. 	 
terura 	Adjective 	terrible 	  	 
terure 	Adverb 	dreadfully 	  	 
testiko 	Noun 	(anatomy) testicle 	Clipped borrowing from English testicle, French testicule and Latin testiculus. 	 
tetano 	Noun 	tetanus 	Borrowed from English tetanus, Latin tetanus and French tétanos. 	 
tezo 	Noun 	thesis, statement 	Borrowed from French thèse and Polish teza. 	 
tigo 	Noun 	(botany) haulm, stalk, stem (of a plant) 	From French tige (“stem, stalk”). 	 
tigro 	Noun 	tiger 	Borrowed from French tigre, Russian тигр (tigr), German Tiger, Italian tigre and English tiger. 	 
tigra 	Adjective 	tigrine 	  	 
timono 	Noun 	(archaic, rare) drawbar, thill 	Borrowed from French timon. 	 
tinti 	Verb 	(intransitive) to jingle, to tinkle, to clink 	Borrowed from French tinter. 	 
tiri 	Verb 	(transitive) to drag, draw, pull 	Borrowed from French tirer and Italian tirare. 	 
altiri 	Verb 	(transitive) to attract, draw 	From al- (“to, toward”) +‎ tiri (“to draw, pull”) 	 
toleri 	Verb 	(transitive) to tolerate 	Borrowed from French tolérer and German tolerieren. 	 
netolerebla 	Adjective 	intolerable 	From ne- +‎ toleri +‎ -ebla. 	 
netolereble 	Adverb 	intolerably 	From ne- +‎ toleri +‎ -eble. 	 
tolerebla 	Adjective 	tolerable 	From toleri (“to tolerate”) +‎ -ebla. 	 
tolereble 	Adverb 	tolerably 	From toleri (“to tolerate”) +‎ -eble. 	 
tolereco 	Noun 	tolerance 	From toleri +‎ -eco. 	 
tolo 	Noun 	linen cloth 	Borrowed from French toile. 	 
tolaĵo 	Noun 	piece of linen, something made of linen 	From tolo +‎ -aĵo. 	 
tomato 	Noun 	tomato (fruit) 	Borrowed from English tomato and French tomate, from Classical Nahuatl tomatl. 	 
tomata 	Adjective 	made of or relating to tomatoes 	  	 
tondi 	Verb 	to cut (with scissors), clip 	Borrowed from French tondre. 	 
tondilo 	Noun 	A pair of scissors. 	From tondi (“to shear”) +‎ -ilo. 	 
tondri 	Verb 	(intransitive, impersonal) to thunder 	Borrowed from English thunder and French tonner. 	 
tono 	Noun 	tone 	Borrowed from German Ton, Russian тон (ton), French ton, Polish ton, English tone and Italian tono. 	 
topazo 	Noun 	topaz (gemstone) 	Borrowed from English topaz, Russian топа́з (topáz), Polish topaz, French topaze and German Topas. 	 
torĉo 	Noun 	torch 	Borrowed from English torch and French torche. 	 
tordi 	Verb 	(transitive) to twist, to wind 	Borrowed from French tordre. 	 
torni 	Verb 	to turn, to rotate 	Borrowed from French tourner and English turn. 	 
trajto 	Noun 	trait, attribute, lineament 	Borrowed from French trait. 	 
tranĉi 	Verb 	to cut, slice 	Borrowed from French trancher and Italian trinciare. 	 
altranĉi 	Verb 	(transitive, rare, archaic) to cut out 	Compound of al +‎ tranĉi. 	 
ambaŭtranĉa 	Adjective 	two-edged (having two cutting edges) 	From ambaŭ +‎ tranĉi +‎ -a. 	 
tranĉilo 	Noun 	knife 	From tranĉi (“to cut”) +‎ -ilo (“tool”). 	 
trankvila 	Adjective 	quiet, calm, tranquil 	Borrowed from French tranquille, from Latin tranquillus. 	 
maltrankvila 	Adjective 	restless 	From mal- (“opposite of”) +‎ trankvila (“calm”). 	 
tre 	Adverb 	very 	Borrowed from French très. 	 
trefo 	Noun 	(card games) The suit of clubs, marked with the symbol ♣. 	Borrowed from German Treff, Russian тре́фы (tréfy), Polish trefl and French trèfle. 	 
tremi 	Verb 	(intransitive) to tremble, quiver 	Borrowed from French trembler and English tremble. 	 
ektremi 	Verb 	(intransitive) to start to tremble, quiver 	From ek- +‎ tremi. 	 
tremigi 	Verb 	(transitive) to cause to tremble 	tremi +‎ -igi 	 
tremolo 	Noun 	aspen (Populus tremula) 	Borrowed from Latin tremula and French tremble. 	 
trempi 	Verb 	To dip 	Borrowed from French tremper. 	 
treni 	Verb 	(transitive) to drag, to tow 	Borrowed from French traîner. 	 
fortreni 	Verb 	to drag away; to drag off 	From for (“away”) +‎ treni (“drag”). 	 
trenado 	Noun 	This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}. 	From treni +‎ -ado. 	 
trezoro 	Noun 	treasure 	Borrowed from French trésor. 	 
tribuno 	Noun 	platform, rostrum, podium, tribune 	Borrowed from French tribune, English tribune, etc. 	 
trifolio 	Noun 	trefoil 	Borrowed from Latin trifolium, English trefoil, Italian trifoglio and French trèfle. Equivalent to tri (“three”) +‎ folio (“leaf”). 	 
triki 	Verb 	to knit 	Borrowed from French tricoter. 	 
trikoto 	Noun 	jumper, jersey 	Borrowed from French tricot and German Trikot. 	 
trilo 	Noun 	trill 	Internationalism. Borrowed from English trill, French trille, etc. 	 
tripo 	Noun 	tripe (entrails, stomach linings used for food) 	Borrowed from French tripes and English tripe. 	 
triviala 	Adjective 	trivial, vulgar, commonplace 	Borrowed from English trivial and French trivial. 	 
tro 	Adverb 	too much 	Borrowed from French trop. 	 
troa 	Adjective 	too much, too many 	From tro (“too much”) +‎ -a. 	 
troigi 	Verb 	to exaggerate 	From tro (“too”) +‎ -igi (“-ify”). 	 
troigo 	Noun 	exaggeration, hyperbole 	From tro (“too”) +‎ -ig- (“-ify”) +‎ -o. 	 
trouzi 	Verb 	to abuse, to overuse 	From tro (“too much”) +‎ uzi (“to use”). 	 
trombo 	Noun 	waterspout 	Borrowed from French trombe. 	 
trompi 	Verb 	to deceive, to cheat 	Borrowed from French tromper. 	 
tropiko 	Noun 	(geography) tropic(s) (one of two parallels at latitude 23°27′) 	Borrowed from Russian тро́пик (trópik), English tropic, French tropique, etc. 	 
tropika 	Adjective 	tropical 	  	 
troti 	Verb 	To trot or to cause (for example, a horse) to do so 	Borrowed from French trotter and English trot. 	 
trotuaro 	Noun 	(transport) sidewalk, pavement, footpath 	Borrowed from French trottoir, Russian тротуа́р (trotuár) and Yiddish טראָטואַר‎‎ (trotuar‎). 	 
trovi 	Verb 	(transitive) to find 	Borrowed from French trouver and Italian trovare. 	 
eltrovi 	Verb 	to find out 	From el- +‎ trovi (“to find”). 	 
troviĝi 	Verb 	to be found 	trovi +‎ -iĝi 	 
trufo 	Noun 	truffle 	Borrowed from French truffe. 	 
trumpeto 	Noun 	trumpet 	Borrowed from English trumpet, French trompette and Yiddish טרומפּייט‎‎ (trumpeyt‎). 	 
truo 	Noun 	hole 	Borrowed from French trou. 	 
nigra truo 	Noun 	(astronomy) black hole 	  	 
pugtruo 	Noun 	(vulgar slang) asshole; arsehole; butthole 	pugo (“ass, arse”) +‎ truo (“hole”) 	 
truilo 	Noun 	hole punch 	From truo (“hole”) +‎ -ilo. 	 
truto 	Noun 	trout 	Borrowed from French truite, from Latin tructa. 	 
bruna truto 	Noun 	brown trout 	  	 
tualeto 	Noun 	personal grooming; washing, dressing etc., one's toilet[1] 	Borrowed from Russian туале́т (tualét), Polish toaleta and French toilette. 	 
tuberkulozo 	Noun 	tuberculosis 	Borrowed from English tuberculosis, French tuberculose, etc., analyzable as tuberkulo (“tubercule”) +‎ -ozo (“-osis”) 	 
tufo 	Noun 	tuft 	Borrowed from French touffe. 	 
tulipo 	Noun 	tulip 	Borrowed from English tulip, French tulipe, Polish tulipan, etc. 	 
tumulto 	Noun 	tumult, commotion 	Borrowed from English tumult and French tumulte. 	 
turbano 	Noun 	turban 	From French turban, English turban, Polish turban, German Turban and Russian тюрбанъ (tjurban) 	 
turmenti 	Verb 	(transitive) to torment, to torture 	Borrowed from French tourmenter. 	 
turni 	Verb 	to turn (transitive) 	Borrowed from French tourner and English turn. 	 
alturni 	Verb 	(transitive) to turn (something) in a particular direction 	From al- +‎ turni. 	 
alturniĝi 	Verb 	(intransitive) to turn toward 	From alturni +‎ -iĝi. 	 
turo 	Noun 	(architecture) tower 	Borrowed from French tour. 	 
akvoturo 	Noun 	water tower 	akvo (“water”) +‎ turo (“tower”) 	 
fajroturo 	Noun 	fire lookout tower 	fajro +‎ turo 	 
lumturo 	Noun 	lighthouse 	lumo +‎ turo 	 
sonorilturo 	Noun 	(architecture) bell tower 	From sonorilo (“bell”) +‎ turo (“tower”). 	 
turto 	Noun 	turtle dove 	Probably borrowed from French tourte or Latin turtur. 	 
tusi 	Verb 	(intransitive) to cough 	Borrowed from French tousser, from Latin tussīre. 	 
tuŝi 	Verb 	to touch 	Borrowed from French toucher. 	 
altuŝi 	Verb 	(transitive) to touch, meet, come into contact with 	From al- +‎ tuŝi. 	 
netuŝebla 	Adjective 	untouchable 	From ne- +‎ tuŝi +‎ -ebla. 	 
tuŝebla 	Adjective 	touchable 	From tuŝi +‎ -ebla. 	 
tuta 	Adjective 	whole, entire 	Borrowed from French tout. 	 
tutaĵo 	Noun 	totality 	From tuta (“whole, entire”) +‎ -aĵo. 	 
ublieto 	Noun 	(rare) oubliette 	From French oubliette. 	 
ulcero 	Noun 	ulcer 	Borrowed from English ulcer, Italian ulcero and French ulcère. 	 
uniformo 	Noun 	uniform 	Borrowed from English uniform, German Uniform, French uniforme, Polish uniform, etc. 	 
universala 	Adjective 	universal (common to all members of a group or class) 	Borrowed from English universal, Polish uniwersalny and French universel. 	 
universitato 	Noun 	university 	Borrowed from English university, German Universität, Russian университе́т (universitét), French université, Polish uniwersytet, etc. 	 
universo 	Noun 	(astronomy) universe 	Borrowed from French univers, English universe, etc. 	 
urini 	Verb 	(usually intransitive) to urinate 	Borrowed from French uriner. 	 
urno 	Noun 	urn 	Borrowed from English urn, French urne, etc., from Latin urna. 	 
urso 	Noun 	bear 	Borrowed from Latin ursus, French ours, etc. 	 
granda 	Adjective 	big, large 	Borrowed from French grand. 	 
malgranda 	Adjective 	small 	From mal- (“opposite of”) +‎ granda (“big, large”). 	 
ursa 	Adjective 	ursine 	  	 
utila 	Adjective 	useful 	Borrowed from Latin ūtilis, Italian utile, French utile and English utile. 	 
malutila 	Adjective 	harmful, noxious 	From mal- (“opposite of”) +‎ utila (“useful”). 	 
senutila 	Adjective 	useless 	From sen- +‎ utila. 	 
utilo 	Noun 	use, usefulness, utility 	From utila (“useful”) +‎ -o. 	 
uzurpi 	Verb 	to usurp 	Borrowed from English usurp, French usurper and German usurpieren. 	 
vagi 	Verb 	(intransitive) to rove, to extravagate, to wander (beyond limits) 	Borrowed from French vaguer. 	 
alvagi 	Verb 	to wander (up) to (a specified location); to wander in. 	From al- +‎ vagi. 	 
vagono 	Noun 	coach, carriage, wagon 	Borrowed from German Wagon, English wagon and French wagon. 	 
valizo 	Noun 	suitcase, valise 	Borrowed from French valise, English valise and Polish waliza. 	 
valso 	Noun 	waltz 	Borrowed from French valse, German Walzer, English waltz, etc. 	 
vanilo 	Noun 	vanilla 	Borrowed from French vanille, German Vanille, Russian вани́ль (vanílʹ) and Polish wanilia. 	 
vaporo 	Noun 	steam, vapour 	Borrowed from English vapour, Latin vapor, Italian vapore and French vapeur. 	 
akvovaporo 	Noun 	water vapour 	From akvo +‎ vaporo. 	 
vapori 	Verb 	(intransitive) to evaporate, to steam 	vaporo (“vapor, steam”) +‎ -i 	 
vaporilo 	Noun 	vaporizer 	From vapori (“evaporate”) +‎ -ilo (“tool”). 	 
vaporŝipo 	Noun 	steamship. 	From vaporo (“steam, vapour”) +‎ ŝipo (“ship”), calque of  English steamboat and related terms. 	 
variolo 	Noun 	smallpox 	Borrowed from French variole. 	 
vasalo 	Noun 	vassal 	Borrowed from French vassal, Polish wasal, from English vassal, German Vasall and Russian васса́л (vassál). 	 
vasta 	Adjective 	extensive, vast, spacious 	Borrowed from Latin vastus, English vast and French vaste. 	 
malvasta 	Adjective 	cramped, narrow 	From mal- (“opposite of”) +‎ vasta (“vast”). 	 
vastigi 	Verb 	(transitive) to spread, to proliferate 	From vasta +‎ -igi. 	 
vato 	Noun 	cotton wool 	Borrowed from English watt, etc. 	 
kilovato 	Noun 	kilowatt 	From kilo- +‎ vato. 	 
vazo 	Noun 	vase, vessel 	Borrowed from French vase, German Vase and English vase. 	 
vegeti 	Verb 	to vegetate 	Borrowed from French végéter, German vegetieren and English vegetate. 	 
vejno 	Noun 	vein 	Borrowed from English vein and French veine 	 
veleno 	Noun 	vellum 	Borrowed from French vélin. 	 
veluro 	Noun 	velvet 	Borrowed from French velours. 	 
vendi 	Verb 	(transitive) to sell 	Borrowed from French vendre. 	 
vendanto 	Noun 	one who is selling, seller 	singular present nominal active participle of vendi 	 
vendaŭtomato 	Noun 	vending machine 	From vendi (“to sell”) +‎ aŭtomato (“automaton”). 	 
vendejo 	Noun 	store 	From vendi (“to sell”) +‎ -ejo (“place”). 	 
vendisto 	Noun 	seller, vendor, merchant 	From vendi +‎ -isto. 	 
vendistino 	Noun 	female seller, female vendor, female merchant 	From vendisto (“seller, vendor, merchant”) +‎ -ino (“female”). 	 
vendredo 	Noun 	Friday 	Borrowed from French vendredi. 	 
Sankta Vendredo 	Noun 	(Christianity) Good Friday 	Literally, “Holy Friday”. 	 
venĝi 	Verb 	to avenge 	Borrowed from French venger. 	 
veni 	Verb 	(intransitive) to come 	Borrowed from Latin, Italian venire and French venir. 	 
alveni 	Verb 	(intransitive) to arrive 	From al- +‎ veni. 	 
alveno 	Noun 	arrival 	From alveni +‎ -o. 	 
deveni 	Verb 	to come from 	From de +‎ veni. 	 
elveni 	Verb 	to come out, to exit 	From el- +‎ veni (“to come”). 	 
enveni 	Verb 	(transitive) to come into 	From en- +‎ veni. 	 
kunveni 	Verb 	to meet, gather, get together, assemble 	From kun- (“together”) +‎ veni (“to come”). 	 
kunveno 	Noun 	meeting 	From kunveni (“to meet, gather, get together, assemble”) +‎ -o. 	 
kunvenejo 	Noun 	meetinghouse 	From kunveno (“meeting”) +‎ -ejo. 	 
reveni 	Verb 	(intransitive) to come back, return 	From re- +‎ veni. 	 
reveno 	Noun 	return (trip) 	From reveni +‎ -o. 	 
venki 	Verb 	(transitive) to conquer 	Borrowed from French vaincre. 	 
egalvenki 	Verb 	to draw, tie (a game) 	From egal(a) (“equal”) +‎ venki (“to defeat”). 	 
nevenkebla 	Adjective 	invincible 	From ne- +‎ venki (“to conquer, defeat”) +‎ -ebla. 	 
malvenki 	Verb 	to be defeated 	From mal- (“opposite of”) +‎ venki (“to defeat”). 	 
vento 	Noun 	(weather) wind 	Borowed from French vent and Latin ventus. 	 
suna vento 	Noun 	(astronomy) solar wind 	  	 
sunvento 	Noun 	(astronomy) solar wind 	  	 
ventanima 	Adjective 	empty-headed, scatterbrained, giddy 	vento (“wind”) +‎ animo (“soul”) +‎ -a. 	 
ventego 	Noun 	windstorm 	From vento +‎ -eg-. 	 
ventmuelejo 	Noun 	windmill 	vento +‎ muelejo 	 
ventoturbino 	Noun 	wind turbine 	vento +‎ turbino 	 
ventumi 	Verb 	to fan 	From vento (“wind”) +‎ -um-. 	 
ventumilo 	Noun 	(hand-held) fan 	From ventumi (“to fan”) +‎ -ilo (“tool”). 	 
ventro 	Noun 	(anatomy) belly 	Borrowed from French ventre and Italian ventre, from Latin venter. 	 
verbo 	Noun 	(grammar) verb 	Borrowed from French verbe, Italian verbo and English verb, ultimately from Latin verbum. 	 
verda 	Adjective 	green in color green colour:   	Borrowed from Italian verde and French vert. 	 
ĉiamverda 	Adjective 	(botany) evergreen (trees or plants that do not shed leaves anually) 	From ĉiam (“always”) +‎ verda (“green”). 	 
ĉiamverda kverko 	Noun 	evergreen oak 	  	 
verda koro 	Noun 	(slang) a solid Esperantist 	verda (“green”) + koro (“heart”) 	 
verda papo 	Noun 	(idiomatic, derogatory) a person who is overly enthusiastic about the utopian ideals behind Esperanto, especially when preachy and holier-than-thou. 	Literally "green pope." 	 
verde 	Adverb 	greenly green colour:   	  	 
verdi 	Verb 	(intransitive) to be green green colour:   	  	 
verdiĝi 	Verb 	to become green 	verda +‎ -iĝi 	 
pliverdiĝi 	Verb 	(intransitive) to become greener 	From pli +‎ verda +‎ -iĝi. 	 
malpliverdiĝi 	Verb 	(intransitive) to become less green 	From malpli +‎ verda +‎ -iĝi. 	 
verdo 	Noun 	the color green green colour:   	  	 
verdulo 	Noun 	an Esperantist 	verda (“green”) +‎ -ulo (“person”) 	 
verdigro 	Noun 	verdigris 	Borrowed from English verdigris and French vert-de-gris. 	 
vergo 	Noun 	rod, cane 	Borrowed from French verge, from Latin virga. 	 
fiŝvergo 	Noun 	fishing rod 	  	 
vergi 	Verb 	to switch (hit with a switch (rod)) 	From vergo (“switch”) +‎ -i (“verb”). 	 
vermiĉelo 	Noun 	vermicelli 	Borrowed from Italian vermicello, vermicelli (“little worm(s)”), a diminutive of verme (“worm”), also English vermicelli and French vermicelle. 	 
vermo 	Noun 	worm 	Borrowed from Italian verme, French ver and Latin vermis. 	 
verso 	Noun 	line of poetry 	Borrowed from French vers, Italian verso, German Vers, English verse and Polish wiersz, all ultimately from Latin versus. 	 
versaĵo 	Noun 	bit of verse 	From verso (“line of poetry”) +‎ -aĵo. 	 
versto 	Noun 	verst (unit of length, about 1.067 km) 	Borrowed from Russian верста́ (verstá), German Werst, French verste and English verst. 	 
verŝi 	Verb 	(transitive) to pour (of liquids) 	Borrowed from French verser; perhaps influenced by German verschütten, although deliberate dissimilation from verso suffices to explain the spelling ŝ. 	 
alverŝi 	Noun 	(transitive) to pour in addition, add (a liquid) 	From al- +‎ verŝi. 	 
vertebro 	Noun 	(anatomy) a vertebra, a chine bone 	Borrowed from French vertèbre and Latin vertebra. 	 
vertebra 	Adjective 	vertebrate 	  	 
vertikala 	Adjective 	vertical 	Borrowed from English vertical and French vertical. 	 
vespo 	Noun 	wasp 	Borrowed from German Wespe, English wasp, Italian vespa and French guêpe. 	 
vesti 	Verb 	To clothe 	Borrowed from French vêtir and Italian vestire. 	 
senvestiĝi 	Verb 	(intransitive) to undress 	From sen- +‎ vesto (“garment”) +‎ -iĝi. 	 
